rebalance_date,rank,universeId,name,developer,weight,score,edr_7d_mean,edr_mom,edr_14d_vol,coverage_7d,avg_ccu,visits,favorites,likes,monetization_count,median_price,price_dispersion,engagement_score,edr_raw
2026-01-08,1,8834587397,Find the Brainrot [323],Find The Games World,0.046401433527021,0.7979020979020979,7868.0335745551465,1.1681469576326042,0.24114644549549882,0.42857142857142855,33430.0,455303836,12189314,488661,0,0.0,0.0,0.6961271791261605,9308.612639275018
2026-01-08,2,6035872082,RIVALS,Nosniy Games,0.06361839474961135,0.7926573426573427,10787.418142108867,1.1604568193025353,0.2767571767307406,0.42857142857142855,250900.0,10301223961,49869889,7558362,0,0.0,0.0,0.13937239695355846,13987.413758259127
2026-01-08,3,9363735110,Escape Tsunami For Brainrots!,Wave of Brainrots,0.025990080768405407,0.7862470862470863,4406.993761779631,1.5370833432920779,0.640374009525441,0.42857142857142855,173390.0,30944667,21855,111391,0,0.0,0.0,0.1076485974142168,7466.076122260421
2026-01-08,4,8722889197,Don’t Steal the Brainrots 🧠,lol games..,0.04604027319251421,0.7853146853146853,7806.793620922202,1.108040058056631,0.18456430731407358,0.42857142857142855,22120.0,90170040,3694605,75501,0,0.0,0.0,1.0452767903840345,9248.609041317937
2026-01-08,5,7960300951,Bridge Battles!,STUDMASTER,0.01578237939666923,0.7712121212121213,2676.130488663657,1.1348350766868622,0.2146494337961999,0.42857142857142855,7018.0,97416020,4271504,201221,0,0.0,0.0,1.1478412380222474,3222.219923376053
2026-01-08,6,8539298853,Scary Shawarma Kiosk: the ANOMALY [horror],kharbor_ykt,0.013706420938534665,0.759090909090909,2324.1217336222235,1.1221345799017277,0.21656118546083095,0.42857142857142855,145118.0,428172540,712102,130453,0,0.0,0.0,0.04919482926205403,2855.6220931403027
2026-01-08,7,4540138978,Metro Life 🎄 City RP,Century Creators,0.03007435048325481,0.7565268065268065,5099.540711331536,1.0681039185516563,0.154567116822569,0.42857142857142855,21188.0,1954461017,55004791,278157,0,0.0,0.0,0.7071380232087792,5993.136174299046
2026-01-08,8,9291952559,[NOW!] Escape the Tsunami on Bike,Do you like a bike?,0.031578553092007425,0.7551282051282052,5354.6,1.0849436397388774,0.248065166863713,0.42857142857142855,11479.0,16608907,1068301,54236,0,0.0,0.0,1.5,6887.400000000001
2026-01-08,9,7326934954,99 Nights in the Forest 🔦,Grandma's Favourite Games,0.0151747028510743,0.7546620046620047,2573.0901491787495,1.0973367803493455,0.2017161365320309,0.42857142857142855,743126.0,22002824258,5316984,4022031,0,0.0,0.0,0.010611154834594053,3154.1700190450165
2026-01-08,10,8926300874,[⚡] Keyboard ASMR Speed Escape,Hotkeys Games,0.011430908714413771,0.7520979020979021,1938.2757539227405,1.2142829932369934,0.46273110062976824,0.42857142857142855,7444.0,8587094,284919,57847,0,0.0,0.0,0.9979103524428637,2971.377865433871
